full_name,nickname,longitude,latitude,
Parking Lot SS3,,-76.94667609821,38.9942645,
Parking Lot T,,-76.9377298240488,38.98986685,
Parking Lot TT,,-76.94036895,38.98852595,
Parking Lot U1,,-76.9437394,38.9826911,
Parking Lot U6,,-76.9450241678599,38.9828241,
Parking Lot UU,,-76.9398296251258,38.99054885,
Parking Lot W,,-76.9413860371152,38.98486265,
Parking Lot W1,,-76.9424845941378,38.98494595,
Parking Lot XX1,,-76.935617290379,38.9900403,
Parking Lot XX2,,-76.9367968153632,38.99147625,
Parking Lot XX4,,-76.937826475598,38.99316725,
Parking Lot XX5,,-76.93692095,38.9909658,
Parking Lot Y,,-76.9419977518114,38.9840286,
Parking Lot YC,,-76.9480388560794,38.993677,
Parking Lot Z,,-76.9485514812047,38.98813685,
Parking Lot Z*,,-76.9467581,38.9887473,
Parking Lot Z1,,-76.9475152,38.9890159,
Patapsco Building,PAT,-76.9249429909109,38.9767149,
Patuxent Building,PTX,-76.943483756875,38.98863025,
Pest Control Trailer,,-76.9335922924701,38.98515375,
Phi Kappa Tau,,-76.93463845,38.9845988,
Phi Sigma Sigma Sorority,,-76.9356071135738,38.9813563,
Physical Distribution Center (Terrapin Trader),,-76.9292279695603,38.9819567,
Physics Building,PHY,-76.94007719774,38.9886972,
Pi Kappa Alpha Fraternity,,-76.936200475,38.9846297,
Plant Operations and Maintenance,,-76.9340028269637,38.98600515,
Plant Operations and Maintenance Shop Building,,-76.9334591527876,38.98503875,
Plant Operations and Maintenance Shop2,,-76.9344044678528,38.98657335,
Plant Operations and Maintenance Shop3,,-76.9342274025325,38.9867869,
Plant Operations and Maintenance Shops,,-76.93452175,38.9858077,
Plant Operations and Maintenance Warehouse,,-76.9339846304955,38.98636865,
Plant Science Building,PLS,-76.9413596237531,38.98873715,
Pocomoke Building,,-76.9371601416079,38.98295055,
Police Impound,,-76.9312547643577,38.98301005,
Police Substation,,-76.9355837584007,38.9825402,
Potomac Building,POT,-76.93830195,38.9903918,
Preinkert Field House,PKT,-76.9461320708538,38.9844511,
Presidents Residence,,-76.9523499501432,38.9885031,
Prince Georges Hall,PGG,-76.941826725,38.9825857,
Pump House,,-76.9465122,38.9886431,
Queen Annes Hall,QAN,-76.9460068545931,38.98519025,
Reckord Armory,ARM,-76.9389662139866,38.9860268,
Recreation Artificial Turf Field,,-76.9391820716749,38.9954899,
Recycling Center,,-76.9372141594106,38.99566315,
Regents Drive Parking Garage,,-76.9414582777038,38.9897313,
Research Greenhouse,,-76.942996197787,38.997127,
Ritchie Coliseum,RIT,-76.936456447182,38.98504805,
Robert E. Taylor Softball Stadium,,-76.9397458168949,38.99629445,
Rosenbloom Hillel Center for Jewish Life,,-76.9487503080679,38.98270895,
Rossborough Inn,,-76.9376116836577,38.9853423,
Route One Annex,,-76.9332763982874,38.99373045,
Samuel Riggs IV Alumni Center,,-76.9490713634912,38.9894604,
Satellite Central Utilities Building 1,SCUB 1,-76.9404483999786,38.98202525,
Satellite Central Utilities Building 2,SCUB 2,-76.9446545340067,38.9835376,
Satellite Central Utilities Building 3,SCUB 3,-76.9459512158262,38.98909655,
Satellite Central Utilities Building 4,SCUB 4,-76.9383176,38.98979345,
School of Public Health,SPH,-76.9431633838994,38.9934922,
